Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
OEOA,OEPAA2,Oenothera parviflora L. var. angustissima (R.R. Gates) Wiegand,
OEOA,,Oenothera oakesiana (A. Gray) J.W. Robbins ex S. Watson & J.M. Coult.,Oakes' evening primrose
OEOA,OEPAO,Oenothera parviflora L. var. oakesiana (A. Gray) Fernald,
OEOA,OEAN2,Oenothera angustissima R.R. Gates,
OEOA,OEBIO,Oenothera biennis L. var. oakesiana A. Gray,
OEOA,OEPAA,Oenothera parviflora L. ssp. angustissima (R.R. Gates) Munz,
OEOA,OECRS,Oenothera cruciata Nutt. ex G. Don var. stenopetala (E.P. Bicknell) Fernald,
OEPA5,,Oenothera parviflora L.,northern evening primrose
OEPA5,OECY,Oenothera cymatilis Bartlett,
OEPA5,OECRS2,Oenothera cruciata Nutt. ex G. Don var. sabulonensis Fernald,
OEPA5,OECR3,Oenothera cruciata Nutt. ex G. Don,
OEPA5,CAST58,Camissonia strigulosa auct. non (Fisch. & C.A. Mey.) P.H. Raven,
OEPA5,OERU2,Oenothera rubricapitata R.R. Gates,
OEPE,OEPER,Oenothera perennis L. var. rectipilis (S.F. Blake) S.F. Blake,
OEPE,,Oenothera perennis L.,little evening primrose
OEPE,KNPE,Kneiffia perennis (L.) Pennell,
OEPE,KNPU,Kneiffia pumila (L.) Spach,
OEPE,OEPET,Oenothera perennis L. var. typica Munz,
OEPI2,,Oenothera pilosella Raf.,meadow evening primrose
OEPIP,KNSU2,Kneiffia sumstinei Jennings,
OEPIP,,Oenothera pilosella Raf. ssp. pilosella,meadow evening primrose
OEPIP,KNPR,Kneiffia pratensis Small,
OESP2,OEDE4,Oenothera delessertiana Steud.,
OESP2,,Oenothera speciosa Nutt.,pinkladies
OESP2,OESPC,Oenothera speciosa Nutt. var. childsii (L.H. Bailey) Munz,
OESP2,HASP4,Hartmannia speciosa (Nutt.) Small,
OESU3,,Oenothera suffrutescens (Ser.) W.L. Wagner & Hoch,scarlet beeblossom
OESU3,GACOP2,Gaura coccinea Nutt. ex Pursh var. parvifolia (Torr.) Rickett,
OESU3,GACO5,Gaura coccinea Nutt. ex Pursh,
OESU3,GACOG2,Gaura coccinea Nutt. ex Pursh var. glabra (Lehm.) Munz,
OESU3,GACOA,Gaura coccinea Nutt. ex Pursh var. arizonica Munz,
OESU3,GACOT,Gaura coccinea Nutt. ex Pursh var. typica Munz,
OESU3,GAOD2,Gaura odorata Sessé ex Lag.,
OESU3,GAGL5,Gaura glabra Lehm.,
OESU3,GACOE3,Gaura coccinea Nutt. ex Pursh var. epilobioides (Kunth) Munz,
OETR2,OEHA5,Oenothera hamata (Wooton & Standl.) Tidestr.,
OETR2,,Oenothera triloba Nutt.,stemless evening primrose
OETR2,LATR6,Lavauxia triloba (Nutt.) Spach,
OETR2,LAWA6,Lavauxia watsonii (Britton) Small,
OEVI,,Oenothera villosa Thunb.,hairy evening primrose
OEVIV,,Oenothera villosa Thunb. ssp. villosa,hairy evening primrose
OEVIV,OECA6,Oenothera canovirens Steele,
OEVIV,OEAL3,Oenothera albinervis R.R. Gates,
OEVIV,OEBIC2,Oenothera biennis L. var. canescens Torr. & A. Gray,
OEVIV,OEVIC2,Oenothera villosa Thunb. ssp. canovirens (Steele) W. Dietr. & P.H. Raven,
OEVIV,OEDE7,Oenothera depressa Greene,
OEVIV,OESTC2,Oenothera strigosa (Rydb.) Mack. & Bush ssp. canovirens (Steele) Munz,
OLDEN,,Oldenlandia L.,oldenlandia
OLUN,HEFA7,Hedyotis fasciculata Bertol.,
OLUN,,Oldenlandia uniflora L.,clustered mille graines
OLUN,HEUN5,Hedyotis uniflora (L.) Lam.,
OLUN,HEUNF,Hedyotis uniflora (L.) Lam. var. fasciculata (Bertol.) W.H. Lewis,
OLUN,OLFA,Oldenlandia fasciculata (Bertol.) Small,
OLIGO3,,Oligoneuron Small,goldenrod
OLAL2,SOPT4,Solidago ptarmicoides (Nees) B. Boivin,
OLAL2,ASPT4,Aster ptarmicoides (Nees) Torr. & A. Gray,
OLAL2,DOPT,Doellingeria ptarmicoides Nees,
OLAL2,,Oligoneuron album (Nutt.) G.L. Nesom,prairie goldenrod
OLAL2,SOAS5,Solidago asteroides Semple,
OLAL2,ASPTG,Aster ptarmicoides (Nees) Torr. & A. Gray var. georgianus A. Gray,
OLAL2,INAL,Inula alba Nutt.,
OLAL2,UNAL,Unamia alba (Nutt.) Rydb.,
OLHO,,Oligoneuron houghtonii (Torr. & A. Gray ex A. Gray) G.L. Nesom,Houghton's goldenrod
OLHO,SOHO,Solidago houghtonii Torr. & A. Gray ex A. Gray,
OLOH,,Oligoneuron ohioense (Frank ex Riddell) G.N. Jones,Ohio goldenrod
OLOH,SOOH,Solidago ohioensis Frank ex Riddell,
OLRI,,Oligoneuron rigidum (L.) Small,stiff goldenrod
OLRIR,OLGR3,Oligoneuron grandiflorum (Raf.) Small,
OLRIR,,Oligoneuron rigidum (L.) Small var. rigidum,stiff goldenrod
OLRIR,SOGR5,Solidago grandiflora Raf.,
OLRIR,SORI2,Solidago rigida L.,
OLRIR,SORIR2,Solidago rigida L. var. rigida,
OMALO,,Omalotheca Cass.,arctic cudweed
OMSY,,Omalotheca sylvatica (L.) Sch. Bip. & F.W. Schultz,woodland arctic cudweed
OMSY,GNSY2,Gnaphalium sylvaticum L.,
ONOBR,,Onobrychis Mill.,sainfoin
ONVI,ONSA,Onobrychis sativa Lam.,
ONVI,ONVI3,"Onobrychis viciaefolia Scop., orth. var.",
ONVI,,Onobrychis viciifolia Scop.,sainfoin
ONVI,HEON,Hedysarum onobrychis L.,
ONONI,,Ononis L.,restharrow
ONAR,,Ononis arvensis L.,field restharrow
ONRE,,Ononis repens L.,common restharrow
ONSP,,Ononis spinosa L.,spiny restharrow
ONSP,ONCA2,Ononis campestris W.D.J. Koch & Ziz,
ONOPO,,Onopordum L.,cottonthistle
ONAC,,Onopordum acanthium L.,Scotch cottonthistle
ONAC,ONACA,Onopordum acanthium L. ssp. acanthium,
ONOSM,,Onosmodium Michx.,marbleseed
ONBE,,Onosmodium bejariense DC. ex A. DC.,soft-hair marbleseed
ONBEH,LICA29,Lithospermum carolinianum auct. non Lam.,
ONBEH,,Onosmodium bejariense DC. ex A. DC. var. hispidissimum (Mack.) B.L. Turner,softhair marbleseed
ONBEH,ONMOH2,Onosmodium molle Michx. ssp. hispidissimum (Mack.) B. Boivin,
ONBEH,ONMOH,Onosmodium molle Michx. var. hispidissimum (Mack.) Cronquist,
ONBEH,ONHIM,Onosmodium hispidissimum Mack. var. macrospermum Mack. & Bush,
ONBEH,ONHI,Onosmodium hispidissimum Mack.,
ONVI2,,Onosmodium virginianum (L.) A. DC.,wild Job's tears
ONVI2,ONVIH,Onosmodium virginianum (L.) A. DC. var. hirsutum Mack.,
OPLOP,,Oplopanax (Torr. & A. Gray) Miq.,oplopanax
OPHO,,Oplopanax horridus (Sm.) Miq.,devilsclub
OPHO,ECHO2,Echinopanax horridus (Sm.) Decne. & Planch. ex Harms,
OPHO,FAHO2,Fatsia horrida (Sm.) Benth. & Hook. f. ex W.H. Brewer & S. Watson,
OPUNT,,Opuntia Mill.,pricklypear
OPHU,OPCA5,Opuntia calcicola Wherry,
OPHU,,Opuntia humifusa (Raf.) Raf.,devil's-tongue
OPHU,OPCO12,Opuntia compressa auct. non J.F. Macbr.,
OPHU,OPCOA3,"Opuntia compressa J.F. Macbr. var. allairei (Griffiths) D. Weniger, nom. nud.",
OPHU,OPCOF,"Opuntia compressa J.F. Macbr. var. fuscoatra (Engelm.) D. Weniger, nom. nud.",
OPHU,OPCU3,Opuntia cumulicola Small,
OPHU,OPCOM,Opuntia compressa J.F. Macbr. var. microsperma (Engelm. & J.M. Bigelow) L.D. Benson,
OPHU,OPHUH,Opuntia humifusa (Raf.) Raf. var. humifusa,
OPHU,OPRA2,Opuntia rafinesquei Engelm.,
ORIGA,,Origanum L.,origanum
ORVU,,Origanum vulgare L.,oregano
ORNIT2,,Ornithopus L.,bird's-foot
ORSA2,,Ornithopus sativus Brot.,common bird's-foot
ORSAS,,Ornithopus sativus Brot. ssp. sativus,common bird's-foot
OROBA,,Orobanche L.,broomrape
ORMI,,Orobanche minor Sm.,hellroot
ORUN,ORPO,Orobanche porphyrantha G. Beck,
ORUN,ORSE4,Orobanche sedii (Suksd.) Fech.,
ORUN,,Orobanche uniflora L.,oneflowered broomrape
ORUN,ORTE3,Orobanche terrae-novae Fernald,
ORUN,ORPU7,Orobanche purpurea Jacq.,
ORUN,ORUNP,Orobanche uniflora L. var. purpurea (A. Heller) Achey,
ORUN,APUN2,Aphyllon uniflorum (L.) Torr. & A. Gray,
ORUN,ORUNO2,Orobanche uniflora L. var. occidentalis (Greene) Roy L. Taylor & MacBryde,
ORUN,ORUNO,Orobanche uniflora L. ssp. occidentalis (Greene) Abrams ex Ferris,
ORUN,THUN3,Thalesia uniflora (L.) Britton,
ORUN,ORUNM2,Orobanche uniflora L. var. minuta (Suksd.) G. Beck,
ORUN,ORUNT,Orobanche uniflora L. var. terrae-novae (Fernald) Munz,
ORUN,ORUNS,Orobanche uniflora L. var. sedii (Suksd.) Achey,
ORUN,ORUNT2,Orobanche uniflora L. var. typica Achey,
ORTHI,,Orthilia Raf.,orthilia
ORSE,,Orthilia secunda (L.) House,sidebells wintergreen
ORSE,PYSE,Pyrola secunda L.,
ORSE,ORSEO2,Orthilia secunda (L.) House var. obtusata (Turcz.) House,
ORSE,ORSEO,Orthilia secunda (L.) House ssp. obtusata (Turcz.) Böcher,
ORSE,RASE2,Ramischia secunda (L.) Garcke,
ORSE,PYSEO,Pyrola secunda L. var. obtusata Turcz.,
ORSE,PYSEO2,Pyrola secunda L. ssp. obtusata (Turcz.) Hultén,
ORSE,RAEL,Ramischia elatior Rydb.,
ORTHO,,Orthocarpus Nutt.,owl's-clover
ORBR,,Orthocarpus bracteosus Benth.,rosy owl's-clover
ORBR,ORBRA,Orthocarpus bracteosus Benth. var. albus D.D. Keck,
OSMOR,,Osmorhiza Raf.,sweetroot
OSCL,OSARB,Osmorhiza aristata (Thunb.) Makino & Yabe var. brevistylis (DC.) B. Boivin,
OSCL,,Osmorhiza claytonii (Michx.) C.B. Clarke,Clayton's sweetroot
OSCL,WACL,Washingtonia claytonii (Michx.) Britton,
OSLO,OSLOV,Osmorhiza longistylis (Torr.) DC. var. villicaulis Fernald,
OSLO,OSLOB,Osmorhiza longistylis (Torr.) DC. var. brachycoma S.F. Blake,
OSLO,WALO2,Washingtonia longistylis (Torr.) Britton,
OSLO,,Osmorhiza longistylis (Torr.) DC.,longstyle sweetroot
OSLO,OSARL,Osmorhiza aristata (Thunb.) Makino & Yabe var. longistylis (Torr.) B. Boivin,
OSLO,OSLOI,Osmorhiza longistylis (Torr.) DC. var. imbarbata Salamun,
OSTRY,,Ostrya Scop.,hophornbeam
OSVI,OSVIL,Ostrya virginiana (Mill.) K. Koch var. lasia Fernald,
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
OSVI,OSVIV,Ostrya virginiana (Mill.) K. Koch var. virginiana,
OXALI,,Oxalis L.,woodsorrel
OXCO,OXCOM3,Oxalis corniculata L. var. minor Laing,
OXCO,OXCOC,Oxalis corniculata L. var. corniculata,
OXCO,ACCO7,Acetosella corniculata (L.) Kuntze,
OXCO,,Oxalis corniculata L.,creeping woodsorrel
OXCO,OXPU4,Oxalis pusilla Salisb.,
OXCO,OXCOV,Oxalis corniculata L. var. villosa (M. Bieb.) Hohen.,
OXCO,OXCOM,Oxalis corniculata L. var. macrophylla Arsene ex R. Knuth,
OXCO,OXCOA,Oxalis corniculata L. var. atropurpurea Planch.,
OXCO,XALA,Xanthoxalis langloisii Small,
OXCO,OXLA9,Oxalis langloisii (Small) Fedde,
OXCO,XACO2,Xanthoxalis corniculata (L.) Small,
OXCO,OXCOL,Oxalis corniculata L. var. lupulina (R. Knuth) Zucc.,
OXCO,OXRE,Oxalis repens Thunb.,
OXCO,OXCOL2,Oxalis corniculata L. var. langloisii (Small) Wiegand,
OXCO,XACOA,Xanthoxalis corniculata (L.) Small var. atropurpurea (Planch.) Moldenke,
OXCO,OXCOR,Oxalis corniculata L. var. reptans Laing,
OXCO,OXCOV2,Oxalis corniculata L. var. viscidula Wiegand,
OXCO,OXVI5,Oxalis villosa M. Bieb.,
OXCO,XARE,Xanthoxalis repens (Thunb.) Moldenke,
OXDI2,OXDIF,Oxalis dillenii Jacq. ssp. filipes (Small) Eiten,
OXDI2,,Oxalis dillenii Jacq.,slender yellow woodsorrel
OXDI2,OXCOD,Oxalis corniculata L. var. dillenii (Jacq.) Trel.,
OXDI2,OXFI2,Oxalis filipes Small,
OXDI2,OXFLP,Oxalis florida Salisb. ssp. prostrata (Haw.) Lourteig,
OXDI2,OXBR,Oxalis brittoniae Small,
OXDI2,OXST2,Oxalis stricta auct. non L.,
OXDI2,OXFLF,Oxalis florida Salisb. var. filipes (Small) H.E. Ahles,
OXDI2,XABR2,Xanthoxalis brittoniae (Small) Small,
OXDI2,OXDIR3,Oxalis dillenii Jacq. var. radicans Shinners,
OXDI2,XADI,Xanthoxalis dillenii (Jacq.) Holub,
OXDI2,OXPR2,Oxalis prostrata Haw.,
OXDI2,XAFI,Xanthoxalis filipes (Small) Small,
OXDI2,OXFL,Oxalis florida Salisb.,
OXDI2,OXRU3,Oxalis rupestris Raf.,
OXDI2,XAFL,Xanthoxalis florida (Salisb.) Moldenke,
OXEX2,,Oxalis exilis A. Cunn.,shady woodsorrel
OXMO,OXACR,Oxalis acetosella L. var. rhodantha (Fernald) R. Knuth,
OXMO,,Oxalis montana Raf.,mountain woodsorrel
OXMO,OXACM,Oxalis acetosella L. ssp. montana (Raf.) Hultén ex D. Löve,
OXMO,OXAC3,Oxalis acetosella auct. non L.,
OXST,,Oxalis stricta L.,common yellow oxalis
OXST,OXBU,Oxalis bushii (Small) Small,
OXST,OXRU4,Oxalis rufa Small,
OXST,OXCY,Oxalis cymosa Small,
OXST,CECO3,Ceratoxalis coloradensis (Rydb.) Lunell,
OXST,OXCO8,Oxalis coloradensis Rydb.,
OXST,XACO4,Xanthoxalis coloradensis (Rydb.) Rydb.,
OXST,OXEU2,Oxalis europaea Jord.,
OXST,CECY3,Ceratoxalis cymosa (Small) Lunell,
OXST,OXSTD,Oxalis stricta L. var. decumbens Bitter,
OXST,XACY2,Xanthoxalis cymosa (Small) Small,
OXST,OXFO,Oxalis fontana Bunge,
OXST,OXEUB2,Oxalis europaea Jord. var. bushii (Small) Wiegand,
OXST,OXSTP,Oxalis stricta L. var. piletocarpa Wiegand,
OXST,XARU,Xanthoxalis rufa (Small) Small,
OXST,OXIN5,Oxalis interior (Small) Fedde,
OXST,OXEUR,Oxalis europaea Jord. var. rufa (Small) Young,
OXST,OXSTV,Oxalis stricta L. var. villicaulis (Wiegand) Farw.,
OXST,OXFOB,Oxalis fontana Bunge var. bushii (Small) H. Hara,
OXST,XADIP,Xanthoxalis dillenii (Jacq.) Holub var. piletocarpa (Wiegand) Holub,
OXST,OXSTR,Oxalis stricta L. var. rufa (Small) Farw.,
OXST,XAST2,Xanthoxalis stricta (L.) Small,
OXST,XABU,Xanthoxalis bushii Small,
OXST,XASTP2,Xanthoxalis stricta (L.) Small var. piletocarpa (Wiegand) Moldenke,
OXST,XAIN2,Xanthoxalis interior Small,
OXVI,,Oxalis violacea L.,violet woodsorrel
OXVI,OXVIT,Oxalis violacea L. var. trichophora Fassett,
OXVI,IOVI,Ionoxalis violacea (L.) Small,
OXVI,SAVI19,Sassia violacea (L.) Holub,
OXYDE,,Oxydendrum DC.,sourwood
OXAR,,Oxydendrum arboreum (L.) DC.,sourwood
OXYPO,,Oxypolis Raf.,cowbane
OXRI,OXRIA,Oxypolis rigidior (L.) Raf. var. ambigua (Nutt.) B.L. Rob.,
OXRI,OXTU,Oxypolis turgida Small,
OXRI,,Oxypolis rigidior (L.) Raf.,stiff cowbane
OXRI,OXLO,Oxypolis longifolia (Pursh) Small,
OXRI,OXRIL,Oxypolis rigidior (L.) Raf. var. longifolia (Pursh) Britton,
PACHY3,,Pachysandra Michx.,pachysandra
PAPR7,,Pachysandra procumbens Michx.,Allegheny-spurge
PATE11,,Pachysandra terminalis Siebold & Zucc.,Japanese pachysandra
PACKE,,Packera Á. Löve & D. Löve,ragwort
PAAN6,,Packera anonyma (Alph. Wood) W.A. Weber & Á. Löve,Small's ragwort
PAAN6,SEAN2,Senecio anonymus Alph. Wood,
PAAN6,SESM3,Senecio smallii Britton,
PAAU3,,Packera aurea (L.) Á. Löve & D. Löve,golden ragwort
PAAU3,SEAUG,Senecio aureus L. var. gracilis (Pursh) Hook.,
PAAU3,SEGR8,Senecio gracilis Pursh,
PAAU3,SEAU2,Senecio aureus L.,
PAAU3,SEAUA,Senecio aureus L. var. aquilonius Fernald,
PAAU3,SEAUI,Senecio aureus L. var. intercursus Fernald,
PAOB6,SERO5,Senecio rotundus (Britton) Small,
PAOB6,SEOB2,Senecio obovatus Muhl. ex Willd.,
PAOB6,,Packera obovata (Muhl. ex Willd.) W.A. Weber & Á. Löve,roundleaf ragwort
PAOB6,SEOBE,Senecio obovatus Muhl. ex Willd. var. elliottii (Torr. & A. Gray) Fernald,
PAOB6,SEOBR2,Senecio obovatus Muhl. ex Willd. var. rotundus Britton,
PAPA20,SEPAF2,Senecio pauperculus Michx. var. firmifolius (Greenm.) Greenm.,
PAPA20,SEGA3,Senecio gaspensis Greenm.,
PAPA20,SEPAB,Senecio pauperculus Michx. var. balsamitae (Muhl. ex Willd.) Fernald,
PAPA20,,Packera paupercula (Michx.) Á. Löve & D. Löve,balsam groundsel
PAPA20,SEPAN2,Senecio pauperculus Michx. var. neoscoticus Fernald,
PAPA20,SEBA4,Senecio balsamitae Muhl. ex Willd.,
PAPA20,SEPAC,Senecio pauperculus Michx. var. crawfordii (Britton) T.M. Barkley,
PAPA20,SECR6,Senecio crawfordii (Britton) G.W. Douglas & G. Ruyle-Douglas,
PAPA20,SEPAT,Senecio pauperculus Michx. var. thompsoniensis (Greenm.) B. Boivin,
PAPA20,SEGAF,Senecio gaspensis Greenm. var. firmifolius (Greenm.) Fernald,
PAPA20,SEPA5,Senecio pauperculus Michx.,
PAPA20,SEPAP,Senecio pauperculus Michx. var. praelongus (Greenm.) House,
PAPA20,SETW,Senecio tweedyi Rydb.,
PASC19,SESC4,Senecio schweinitzianus Nutt.,
PASC19,SERO6,Senecio robbinsii Oakes ex Rusby,
PASC19,,Packera schweinitziana (Nutt.) W.A. Weber & Á. Löve,Schweinitz's ragwort
PAEON,,Paeonia L.,peony
PALA27,,Paeonia lactiflora Pall.,Chinese peony
PANAX,,Panax L.,ginseng
PAQU,,Panax quinquefolius L.,American ginseng
PATR2,,Panax trifolius L.,dwarf ginseng
PAPAV,,Papaver L.,poppy
PAAR3,,Papaver argemone L.,long pricklyhead poppy
PADU,,Papaver dubium L.,blindeyes
PAGL4,,Papaver glaucum Boiss. & Hausskn.,tulip poppy
PAOR5,,Papaver orientale L.,Oriental poppy
PAOR5,PAPS10,Papaver pseudo-orientale (Fedde) Medw.,
PAOR5,PAPS6,"Papaver pseudoorientale (Fedde) Medv., orth. var.",
PARH2,,Papaver rhoeas L.,corn poppy
PASO2,,Papaver somniferum L.,opium poppy
PASO2,PASOS,Papaver somniferum L. var. setigerum auct. non (DC.) Corb.,
PARIE,,Parietaria L.,pellitory
PAJU,,Parietaria judaica L.,spreading pellitory
PAJU,PADI12,Parietaria diffusa Mert. & W.D.J. Koch,
PAPE5,PAOB3,Parietaria obtusa Rydb. ex Small,
PAPE5,PAPEO,Parietaria pensylvanica Muhl. ex Willd. var. obtusa (Rydb. ex Small) Shinners,
PAPE5,PAOC4,Parietaria occidentalis Rydb.,
PAPE5,,Parietaria pensylvanica Muhl. ex Willd.,Pennsylvania pellitory
PARNA,,Parnassia L.,grass of Parnassus
PAGL3,PAAM5,Parnassia americana Muhl.,
PAGL3,,Parnassia glauca Raf.,fen grass of Parnassus
PARON,,Paronychia Mill.,nailwort
PACA11,PADI13,Paronychia dichotoma (Michx.) A. Nelson,
PACA11,ANCA16,"Anychia canadensis (L.) Britton, Sterns & Poggenb.",
PACA11,,Paronychia canadensis (L.) Alph. Wood,smooth forked nailwort
PACA11,ANDI7,Anychia dichotoma Michx.,
PAFA3,,Paronychia fastigiata (Raf.) Fernald,hairy forked nailwort
PAFAF,ANPO4,Anychia polygonoides Raf.,
PAFAF,PAFAT,Paronychia fastigiata (Raf.) Fernald var. typica Fernald,
PAFAF,,Paronychia fastigiata (Raf.) Fernald var. fastigiata,hairy forked nailwort
PAFAN,,Paronychia fastigiata (Raf.) Fernald var. nuttallii (Small) Fernald,hairy forked nailwort
PARTH2,,Parthenium L.,feverfew
PAHY,PALO7,Parthenium lobatum Buckley,
PAHY,,Parthenium hysterophorus L.,Santa Maria feverfew
PAIN3,,Parthenium integrifolium L.,wild quinine
PAINI,,Parthenium integrifolium L. var. integrifolium,wild quinine
PAINI,PAINH,Parthenium integrifolium L. var. henryanum Mears,
PARTH3,,Parthenocissus Planch.,creeper
PAQU2,AMLA7,Ampelopsis latifolia Tausch,
PAQU2,AMHEM,Ampelopsis hederacea (Ehrh.) DC. var. murorum Focke,
PAQU2,HEQU3,Hedera quinquefolia L.,
PAQU2,,Parthenocissus quinquefolia (L.) Planch.,Virginia creeper
PAQU2,AMQU3,Ampelopsis quinquefolia (L.) Michx.,
PAQU2,PAQUH,Parthenocissus quinquefolia (L.) Planch. var. hirsuta (Pursh) Planch.,
PAQU2,PAIN10,Parthenocissus inserta (Kern.) Fritsch,
PAQU2,PAHI9,Parthenocissus hirsuta (Pursh) Graebn.,
PAQU2,VIIN8,Vitis inserta Kern.,
PAQU2,PAQUM,Parthenocissus quinquefolia (L.) Planch. var. murorum (Focke) Rehder,
PAQU2,VIQU2,Vitis quinquefolia (L.) Lam.,
PAQU2,PAQUS,Parthenocissus quinquefolia (L.) Planch. var. saintpaulii (Koehne ex Graebn.) Rehder,
PAQU2,PSQU,Psedera quinquefolia (L.) Greene,
PAQU2,PSQUM,Psedera quinquefolia (L.) Greene var. murorum (Focke) Rehder,
PATR6,,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Boston ivy
PATR6,AMTR3,Ampelopsis tricuspidata Siebold & Zucc.,
PAVI5,,Parthenocissus vitacea (Knerr) Hitchc.,woodbine
PASTI,,Pastinaca L.,parsnip
PASA2,PASAP,Pastinaca sativa L. var. pratensis Pers.,
PASA2,,Pastinaca sativa L.,wild parsnip
PAULO,,Paulownia Siebold & Zucc.,paulownia
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PATO2,PAIM7,Paulownia imperialis Siebold & Zucc.,
PEDIC,,Pedicularis L.,lousewort
PECA,,Pedicularis canadensis L.,Canadian lousewort
PECAC3,PEGL13,Pedicularis gladiata Michx.,
PECAC3,PECAD4,Pedicularis canadensis L. var. dobbsii Fernald,
PECAC3,,Pedicularis canadensis L. ssp. canadensis,Canadian lousewort
PELA2,PEPA32,Pedicularis pallida Nutt.,
PELA2,,Pedicularis lanceolata Michx.,swamp lousewort
PELA2,PEVI11,Pedicularis virginica Poir.,
PELA2,PEAU4,Pedicularis auriculata Sm.,
PEDIO2,,Pediomelum Rydb.,Indian breadroot
PEES,,Pediomelum esculentum (Pursh) Rydb.,large Indian breadroot
PEES,PSES,Psoralea esculenta Pursh,
PENST,PEHY11,"Penstemon ×hybridus hort. ex Groenl. & Rümpler, nom. inval.",
PENST,,Penstemon Schmidel,beardtongue
PECA7,PELAC,Penstemon laevigatus Aiton ssp. calycosus (Small) Benn.,
PECA7,,Penstemon calycosus Small,longsepal beardtongue
PEDI,,Penstemon digitalis Nutt. ex Sims,foxglove beardtongue
PEDI,PELAD2,Penstemon laevigatus Aiton ssp. digitalis (Nutt. ex Sims) Benn.,
PEDI,PELAA5,Penstemon laevigatus Aiton var. angulatus Benn.,
PEHI,,Penstemon hirsutus (L.) Willd.,hairy beardtongue
PEHI,PEHIP,Penstemon hirsutus (L.) Willd. var. pygmaeus Benn.,
PEHI,PEHIM,Penstemon hirsutus (L.) Willd. var. minimus Benn.,
PEPA7,PEBR10,Penstemon brevisepalus Pennell,
PEPA7,,Penstemon pallidus Small,pale beardtongue
PEPA7,PEARP,Penstemon arkansanus Pennell var. pubescens,
PETU,PETU3,"Penstemon tubiflorus Nutt., orth. var.",
PETU,,Penstemon tubaeflorus Nutt.,white wand beardtongue
PETUA,PETUA2,"Penstemon tubiflorus Nutt. var. achoreus Fernald, orth. var.",
PETUA,,Penstemon tubaeflorus Nutt. var. achoreus Fernald,white wand beardtongue
PENTH,,Penthorum L.,penthorum
PESE6,,Penthorum sedoides L.,ditch stonecrop
PERIL,,Perilla L.,perilla
PEFR4,,Perilla frutescens (L.) Britton,beefsteakplant
PEFRC2,,Perilla frutescens (L.) Britton var. crispa (Benth.) Deane,beefsteakplant
PEFRF2,,Perilla frutescens (L.) Britton var. frutescens,beefsteakplant
PEFRF2,PEAR12,Perilla arguta Benth.,
PEFRF2,PEOC7,Perilla ocymoides L.,
PERIP,,Periploca L.,periploca
PEGR9,,Periploca graeca L.,silkvine
PETAS,,Petasites Mill.,butterbur
PEFR5,,Petasites frigidus (L.) Fr.,arctic sweet coltsfoot
PEFRP,,Petasites frigidus (L.) Fr. var. palmatus (Aiton) Cronquist,arctic sweet coltsfoot
PEFRP,PEHO7,Petasites hookerianus (Nutt.) Rydb.,
PEFRP,PEAR5,Petasites arcticus A.E. Porsild,
PEFRP,NAAR3,Nardosmia arctica (A.E. Porsild) Á. Löve & D. Löve,
PEFRP,PESP7,Petasites speciosus (Nutt.) Piper,
PEFRP,PEPA31,Petasites palmatus (Aiton) A. Gray,
PEFRP,PEFRA3,Petasites frigidus (L.) Fr. ssp. arcticus (A.E. Porsild) Cody,
PEFRP,PEFRP2,Petasites frigidus (L.) Fr. ssp. palmatus (Aiton) Cody,
PEHY,,"Petasites hybridus (L.) G. Gaertn., B. Mey. & Scherb.",pestilence wort
PEHY,PEOF,Petasites officinalis Moench,
PEHY,PEVU3,Petasites vulgaris Hill,
PETRO,,Petrorhagia (Ser.) Link,pink
PEPR4,TUPR2,Tunica prolifera (L.) Scop.,
PEPR4,,Petrorhagia prolifera (L.) P.W. Ball & Heywood,childing pink
PEPR4,DIPR3,Dianthus prolifer L.,
PESA9,,Petrorhagia saxifraga (L.) Link,saxifrage pink
PESA9,TUSA2,Tunica saxifraga (L.) Scop.,
PETRO6,,Petroselinum J. Hill,parsley
PECR2,CAPE33,Carum petroselinum (L.) Benth. & Hook. f.,
PECR2,PEVU4,Petroselinum vulgare Lagasca,
PECR2,,Petroselinum crispum (Mill.) Nyman ex A.W. Hill,parsley
PECR2,PESA17,Petroselinum sativum Hoffm.,
PECR2,APPE,Apium petroselinum L.,
PECR2,PEHO6,Petroselinum hortense Hoffm.,
PETUN,,Petunia Juss.,petunia
PEAX,,"Petunia axillaris (Lam.) Britton, Sterns & Poggenb.",large white petunia
PEAX,PEVI6,Petunia violacea auct. non Juss.,
PEUCE,,Peucedanum L.,peucedanum
PEOS2,,Peucedanum ostruthium (L.) W.D.J. Koch,masterwort
PEOS2,IMOS,Imperatoria ostruthia L.,
PHACE,,Phacelia Juss.,phacelia
PHCA3,,Phacelia campanularia A. Gray,desertbells
PHCAC2,,Phacelia campanularia A. Gray ssp. campanularia,desertbells
PHCI2,,Phacelia ciliata Benth.,Great Valley phacelia
PHCIC2,,Phacelia ciliata Benth. var. ciliata,Great Valley phacelia
PHDU,,Phacelia dubia (L.) Trel.,smallflower phacelia
PHDUD,,Phacelia dubia (L.) Trel. var. dubia,smallflower phacelia
